"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
9,281625011E-3;-1,748030090E1;-3,806295776E1;-6,830282593E1;8,012256675E1
1,932362502E-2;-1,724427795E1;-3,810063934E1;-6,835784912E1;8,013625507E1
2,936662501E-2;-1,731642151E1;-3,794245148E1;-6,847610474E1;8,017770886E1
3,940862502E-2;-1,726539612E1;-3,778469086E1;-6,841033936E1;8,003593753E1
4,945062500E-2;-1,730810547E1;-3,719448853E1;-6,869537354E1;8,001284170E1
5,949262501E-2;-1,731153870E1;-3,724465179E1;-6,873175049E1;8,006813963E1
6,953562499E-2;-1,740951538E1;-3,704145813E1;-6,869696045E1;7,996520006E1
7,957762500E-2;-1,753544617E1;-3,718059540E1;-6,872250366E1;8,007915494E1
8,961962501E-2;-1,753668213E1;-3,656849670E1;-6,888040161E1;7,993309638E1
9,966162502E-2;-1,737158203E1;-3,644752502E1;-6,902941895E1;7,997033589E1
1,097036250E-1;-1,726536560E1;-3,678464508E1;-6,897540283E1;8,005503831E1
1,197466250E-1;-1,736621094E1;-3,649068451E1;-6,883691406E1;7,982277918E1
1,297886250E-1;-1,746304321E1;-3,662679291E1;-6,884823608E1;7,991595241E1
1,398306250E-1;-1,740563965E1;-3,664253998E1;-6,914233398E1;8,016417140E1
1,498726250E-1;-1,757752991E1;-3,646646118E1;-6,924224854E1;8,020761392E1
1,599146250E-1;-1,767427063E1;-3,649042511E1;-6,921026611E1;8,021216804E1
1,699576250E-1;-1,778845215E1;-3,665078735E1;-6,896936035E1;8,010294571E1
1,799996250E-1;-1,749420166E1;-3,701235962E1;-6,911611938E1;8,033056588E1
1,900416250E-1;-1,784573364E1;-3,687722778E1;-6,884912109E1;8,011617573E1
2,000836250E-1;-1,772981262E1;-3,690225220E1;-6,925573730E1;8,045172231E1
2,101266250E-1;-1,782119751E1;-3,680445862E1;-6,890106201E1;8,012190463E1
2,201686250E-1;-1,778523254E1;-3,705187988E1;-6,862768555E1;7,999322173E1
2,302106250E-1;-1,775019836E1;-3,702232361E1;-6,890805054E1;8,021247669E1
2,402526250E-1;-1,780107117E1;-3,691736603E1;-6,851998901E1;7,984208755E1
2,502946250E-1;-1,786352539E1;-3,699199677E1;-6,840078735E1;7,978835175E1
