"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
9,955874993E-3;-2,069834900E1;-5,337281799E1;-6,821322632E1;8,905124141E1
1,999787500E-2;-1,905044556E1;-5,868904877E1;-6,608972168E1;9,041667563E1
3,004087499E-2;-1,974623108E1;-5,712594604E1;-6,668151855E1;8,999840149E1
4,008287500E-2;-1,842544556E1;-6,158161163E1;-6,454431152E1;9,109204183E1
5,012487501E-2;-2,123925781E1;-5,655091858E1;-6,636102295E1;8,973793975E1
6,016787500E-2;-1,942826843E1;-6,104570007E1;-6,424801636E1;9,072950302E1
7,020987500E-2;-2,226760864E1;-5,690610504E1;-6,565719604E1;8,969402755E1
8,025187498E-2;-1,996232605E1;-6,103475952E1;-6,298248291E1;8,994737064E1
9,029387499E-2;-2,255697632E1;-5,717651367E1;-6,436920166E1;8,900205064E1
1,003368750E-1;-1,985827637E1;-6,049151611E1;-6,164639282E1;8,862196347E1
1,103788750E-1;-2,211180115E1;-5,774011993E1;-6,372796631E1;8,879249343E1
1,204208750E-1;-1,903987122E1;-6,062886810E1;-6,068215942E1;8,786751855E1
1,304638750E-1;-2,109220886E1;-5,794062805E1;-6,259997559E1;8,786782458E1
1,405058750E-1;-1,786444092E1;-5,976022339E1;-6,035778809E1;8,679565157E1
1,505478750E-1;-2,026663208E1;-5,814089966E1;-6,218914795E1;8,751337447E1
1,605898750E-1;-1,649580383E1;-5,993466949E1;-5,944662476E1;8,601265806E1
1,706323750E-1;-1,908421326E1;-5,872912598E1;-6,116677856E1;8,691773256E1
1,806743750E-1;-1,543382263E1;-5,922940826E1;-5,865692139E1;8,477594064E1
1,907163750E-1;-1,801573181E1;-5,882173157E1;-6,032650757E1;8,616176770E1
2,007583750E-1;-1,441777039E1;-5,842494965E1;-5,783523560E1;8,346413194E1
2,108013750E-1;-1,743968201E1;-5,842643738E1;-5,923434448E1;8,500881519E1
2,208433750E-1;-1,377912903E1;-5,759350586E1;-5,718698120E1;8,232391592E1
2,308853750E-1;-1,704353333E1;-5,847933960E1;-5,814672852E1;8,421019668E1
2,409283750E-1;-1,331649780E1;-5,667175293E1;-5,644735718E1;8,108835198E1
2,509703750E-1;-1,670289612E1;-5,791526031E1;-5,736199951E1;8,320795097E1
2,610123750E-1;-1,291200256E1;-5,525080109E1;-5,604388428E1;7,975141250E1
2,710543750E-1;-1,646591187E1;-5,719839478E1;-5,691372681E1;8,235262544E1
2,810973750E-1;-1,232987976E1;-5,357945251E1;-5,604083252E1;7,850706068E1
2,911393750E-1;-1,644427490E1;-5,590051270E1;-5,636538696E1;8,106995957E1
3,011813750E-1;-1,179714966E1;-5,156759644E1;-5,567889404E1;7,680188138E1
3,112233750E-1;-1,647656250E1;-5,471522522E1;-5,583059692E1;7,988922665E1
3,212663750E-1;-1,117207336E1;-4,972777557E1;-5,552734375E1;7,537209557E1
3,313083750E-1;-1,635087585E1;-5,346634674E1;-5,520352173E1;7,857117911E1
3,413503750E-1;-1,080136108E1;-4,722705841E1;-5,526217651E1;7,349130969E1
3,513933750E-1;-1,600175476E1;-5,178988647E1;-5,448086548E1;7,685319252E1
3,614353750E-1;-1,004904175E1;-4,545085907E1;-5,527102661E1;7,226098680E1
3,714773750E-1;-1,568818665E1;-5,098381805E1;-5,362133789E1;7,563542015E1
3,815193750E-1;-9,333831787E0;-4,421992493E1;-5,461083984E1;7,088628926E1
3,915623750E-1;-1,512817383E1;-5,036621094E1;-5,265280151E1;7,441729876E1
4,016043750E-1;-8,363388062E0;-4,349067688E1;-5,421664429E1;7,000592656E1
4,116463750E-1;-1,453108215E1;-5,002961731E1;-5,181860352E1;7,347981102E1
4,216893750E-1;-7,463821411E0;-4,268695831E1;-5,406420898E1;6,928797683E1
4,317313750E-1;-1,428392029E1;-4,979144287E1;-5,146337891E1;7,301847390E1
4,417733750E-1;-6,913558960E0;-4,186640930E1;-5,439093018E1;6,898526517E1
4,518153750E-1;-1,432975769E1;-4,892607880E1;-5,072552490E1;7,191788386E1
4,618583750E-1;-6,663238525E0;-4,078000641E1;-5,456021118E1;6,844139328E1
4,719003750E-1;-1,417306519E1;-4,812034607E1;-5,088363647E1;7,145339700E1
4,819423750E-1;-6,308212280E0;-3,964585114E1;-5,490686035E1;6,801727992E1
4,919853750E-1;-1,402795410E1;-4,778059387E1;-5,041607666E1;7,086289179E1
5,020273750E-1;-5,874618530E0;-3,919446564E1;-5,503076172E1;6,781667947E1
5,120693750E-1;-1,373553467E1;-4,775336456E1;-5,023605347E1;7,065910987E1
5,221113750E-1;-5,269882202E0;-3,876314545E1;-5,516818237E1;6,763047723E1
5,321543750E-1;-1,342324829E1;-4,730829620E1;-4,951312256E1;6,978400812E1
5,421963750E-1;-5,127197266E0;-3,880118561E1;-5,553839111E1;6,794360193E1
5,522383750E-1;-1,329776001E1;-4,780676270E1;-4,962561035E1;7,017847379E1
5,622803750E-1;-4,406188965E0;-3,894806671E1;-5,589617920E1;6,826968032E1
5,723233750E-1;-1,240412903E1;-4,792011261E1;-4,928454590E1;6,985102772E1
5,823653750E-1;-4,219772339E0;-3,907410431E1;-5,620138550E1;6,857979176E1
5,924073750E-1;-1,259359741E1;-4,832368469E1;-4,912136841E1;7,004774109E1
6,024503750E-1;-4,057296753E0;-3,893695831E1;-5,661581421E1;6,883239643E1
6,124923750E-1;-1,250746155E1;-4,851224518E1;-4,896087646E1;7,005028159E1
6,225343750E-1;-4,195999146E0;-3,889093018E1;-5,690335083E1;6,905144600E1
6,325763750E-1;-1,251618958E1;-4,875260925E1;-4,875738525E1;7,007677595E1
6,426193750E-1;-3,766342163E0;-3,868004608E1;-5,696209717E1;6,895659368E1
6,526613750E-1;-1,230068970E1;-4,869664001E1;-4,899645996E1;7,016639370E1
6,627033750E-1;-3,350662231E0;-3,831158447E1;-5,756744385E1;6,923160430E1
6,727453750E-1;-1,185667419E1;-4,877584076E1;-4,808325195E1;6,951016101E1
6,827883750E-1;-2,934997559E0;-3,797404480E1;-5,722106934E1;6,873785758E1
6,928303750E-1;-1,179966736E1;-4,884590149E1;-4,772399902E1;6,930176278E1
7,028723750E-1;-2,531082153E0;-3,747193146E1;-5,671942139E1;6,802679462E1
7,129153750E-1;-1,186676025E1;-4,894861603E1;-4,687280273E1;6,880295521E1
7,229573750E-1;-2,596282959E0;-3,712767029E1;-5,673318481E1;6,785174165E1
7,329993750E-1;-1,211932373E1;-4,850784302E1;-4,645410156E1;6,824860727E1
7,430413750E-1;-2,331390381E0;-3,655106354E1;-5,670147705E1;6,750165277E1
7,530843750E-1;-1,213417053E1;-4,886948395E1;-4,601217651E1;6,820985958E1
7,631263750E-1;-2,109939575E0;-3,639678955E1;-5,663528442E1;6,735527876E1
7,731683750E-1;-1,202714539E1;-4,881159973E1;-4,540628052E1;6,774182464E1
7,832113750E-1;-1,549545288E0;-3,595765686E1;-5,602441406E1;6,658895666E1
7,932533750E-1;-1,207711792E1;-4,883039856E1;-4,481268311E1;6,736795357E1
8,032953750E-1;-1,072143555E0;-3,536197662E1;-5,598254395E1;6,622434680E1
8,133373750E-1;-1,169207764E1;-4,865042114E1;-4,402041626E1;6,664356837E1
8,233803750E-1;-1,518707275E-1;-3,482078552E1;-5,570690918E1;6,569451955E1
8,334223750E-1;-1,164144897E1;-4,883361053E1;-4,329022217E1;6,628942742E1
8,434643750E-1;6,379699707E-2;-3,452255249E1;-5,545266724E1;6,532081601E1
8,535063750E-1;-1,173832703E1;-4,888010406E1;-4,257431030E1;6,587582859E1
8,635493750E-1;2,912750244E-1;-3,399886322E1;-5,504434204E1;6,469843222E1
8,735913750E-1;-1,171435547E1;-4,874248505E1;-4,217016602E1;6,550861679E1
8,836333750E-1;8,500671387E-1;-3,327890778E1;-5,546121216E1;6,468503978E1
8,936763750E-1;-1,155548096E1;-4,865496826E1;-4,188305664E1;6,523055657E1
9,037183750E-1;1,253723145E0;-3,286631775E1;-5,517398071E1;6,423343998E1
9,137603750E-1;-1,199276733E1;-4,887207794E1;-4,113836670E1;6,499747445E1
9,238023750E-1;1,513381958E0;-3,236172485E1;-5,505630493E1;6,388089130E1
9,338453750E-1;-1,195082092E1;-4,852913666E1;-4,077593994E1;6,450253099E1
9,438873750E-1;1,991210938E0;-3,178081322E1;-5,544686890E1;6,394013044E1
9,539293750E-1;-1,176239014E1;-4,842454529E1;-4,047937012E1;6,420178980E1
9,639713750E-1;2,180404663E0;-3,108635902E1;-5,594305420E1;6,403702987E1
9,740143750E-1;-1,206277466E1;-4,856016541E1;-4,000601196E1;6,406310319E1
9,840563750E-1;2,737075806E0;-3,071035957E1;-5,575631714E1;6,371330057E1
9,940983750E-1;-1,223928833E1;-4,841136932E1;-3,978027344E1;6,384301852E1
1,004141375E0;2,992858887E0;-2,980292702E1;-5,612576294E1;6,361818080E1
1,014183375E0;-1,220672607E1;-4,807709503E1;-3,898730469E1;6,309057897E1
1,024225375E0;3,811630249E0;-2,893215370E1;-5,601428223E1;6,316009703E1
1,034267375E0;-1,229409790E1;-4,789037323E1;-3,832879639E1;6,255980598E1
1,044310375E0;4,181427002E0;-2,805396080E1;-5,612945557E1;6,288898815E1
1,054352375E0;-1,214511108E1;-4,779116821E1;-3,893869019E1;6,283089269E1
1,064394375E0;4,535827637E0;-2,752129555E1;-5,544287109E1;6,206373656E1
1,074437375E0;-1,181788635E1;-4,861679077E1;-3,741052246E1;6,247240970E1
1,084479375E0;5,752868652E0;-2,687794685E1;-5,669314575E1;6,300501805E1
1,094521375E0;-1,196260071E1;-4,882550812E1;-3,728652954E1;6,258849210E1
1,104563375E0;5,708816528E0;-2,666715431E1;-5,676446533E1;6,297564791E1
1,114606375E0;-1,216117859E1;-4,913300323E1;-3,740725708E1;6,293845529E1
1,124648375E0;6,230590820E0;-2,640173531E1;-5,706256104E1;6,318233741E1
1,134690375E0;-1,214184570E1;-4,925268555E1;-3,733831787E1;6,298731168E1
1,144732375E0;6,662246704E0;-2,592233086E1;-5,710437012E1;6,306553619E1
1,154775375E0;-1,216453552E1;-4,984976959E1;-3,757064819E1;6,359661201E1
1,164817375E0;7,196975708E0;-2,519090080E1;-5,801269531E1;6,365414959E1
1,174859458E0;-1,201231384E1;-4,978310394E1;-3,826138306E1;6,392641516E1
1,184902458E0;7,640914917E0;-2,418515205E1;-5,876693726E1;6,400670336E1
1,194944458E0;-1,416789246E1;-5,104026031E1;-3,391439819E1;6,289692961E1
1,204986458E0;6,236434937E0;-2,402318764E1;-5,554101562E1;6,083429199E1
1,215028458E0;-1,399977112E1;-5,185299683E1;-3,339938354E1;6,324749554E1
1,225071458E0;6,136001587E0;-2,382932472E1;-5,517056274E1;6,040925613E1
1,235113458E0;-1,402738953E1;-5,221698761E1;-3,313998413E1;6,341640167E1
1,245155458E0;6,378829956E0;-2,371051598E1;-5,420004272E1;5,950229131E1
1,255197458E0;-1,383532715E1;-5,245979309E1;-3,286123657E1;6,342954389E1
1,265240458E0;6,199829102E0;-2,361351204E1;-5,398553467E1;5,924925135E1
1,275282458E0;-1,408389282E1;-5,269625854E1;-3,261260986E1;6,355182156E1
1,285324458E0;6,006332397E0;-2,294682121E1;-5,316525269E1;5,821663616E1
1,295367458E0;-1,432485962E1;-5,317649078E1;-3,246679688E1;6,392991220E1
1,305409458E0;5,884368896E0;-2,273805428E1;-5,303945923E1;5,800714736E1
1,315451458E0;-1,425514221E1;-5,371162415E1;-3,219412231E1;6,422312013E1
1,325493458E0;5,895538330E0;-2,220177650E1;-5,283602905E1;5,761355933E1
1,335536458E0;-1,399145508E1;-5,395767975E1;-3,229367065E1;6,442106164E1
1,345578458E0;6,233459473E0;-2,156443596E1;-5,251116943E1;5,710782635E1
1,355620458E0;-1,394531250E1;-5,458856201E1;-3,215667725E1;6,487244974E1
1,365663458E0;6,529281616E0;-2,107789803E1;-5,167041016E1;5,618487865E1
1,375705458E0;-1,378634644E1;-5,579654694E1;-3,220065308E1;6,588019472E1
1,385747458E0;6,622741699E0;-2,032481956E1;-5,168606567E1;5,593217663E1
1,395789458E0;-1,406446838E1;-5,640290833E1;-3,204180908E1;6,637601124E1
1,405832458E0;6,595046997E0;-1,954177666E1;-5,141415405E1;5,539666882E1
1,415874458E0;-1,412910461E1;-5,737674713E1;-3,213778687E1;6,726485006E1
1,425916458E0;6,926025391E0;-1,831546211E1;-5,125613403E1;5,486909199E1
1,435958458E0;-1,439341736E1;-5,822676086E1;-3,166949463E1;6,782686071E1
1,446001458E0;6,992721558E0;-1,706973076E1;-5,038320923E1;5,365390606E1
1,456043458E0;-1,468132019E1;-5,920262146E1;-3,126995850E1;6,854415989E1
1,466085458E0;7,591186523E0;-1,601707268E1;-5,008023071E1;5,312440342E1
1,476128458E0;-1,472462463E1;-6,013973999E1;-3,129989624E1;6,937785238E1
1,486170458E0;7,971618652E0;-1,517398643E1;-4,935321045E1;5,224496100E1
1,496212458E0;-1,474855042E1;-6,152219391E1;-3,069876099E1;7,032008254E1
1,506254458E0;8,474914551E0;-1,414223289E1;-4,922970581E1;5,191715383E1
1,516297458E0;-1,498260498E1;-6,255567169E1;-3,032476807E1;7,111457003E1
1,526339458E0;8,901855469E0;-1,268658257E1;-4,840509033E1;5,082563505E1
1,536381458E0;-1,544863892E1;-6,378755951E1;-3,009082031E1;7,220090484E1
1,546424458E0;9,067337036E0;-1,125452995E1;-4,849176025E1;5,059972192E1
1,556466458E0;-1,555335999E1;-6,440550232E1;-2,995797729E1;7,271489627E1
1,566508458E0;9,218887329E0;-9,750387192E0;-4,830630493E1;5,013538700E1
1,576550458E0;-1,599749756E1;-6,567098999E1;-2,954666138E1;7,376722886E1
1,586593458E0;1,004093933E1;-8,798028946E0;-4,821401978E1;5,002816686E1
1,596635458E0;-1,610273743E1;-6,689891052E1;-2,909561157E1;7,470821236E1
1,606677458E0;1,028105164E1;-7,565301895E0;-4,804382324E1;4,971059009E1
1,616719458E0;-1,597032166E1;-6,758184814E1;-2,814636230E1;7,493046832E1
1,626762458E0;1,049172974E1;-6,581212997E0;-4,809890747E1;4,966783322E1
1,636804458E0;-1,626161194E1;-6,850566101E1;-2,794763184E1;7,575312362E1
1,646846458E0;1,096034241E1;-5,469903946E0;-4,831524658E1;4,984387633E1
1,656889458E0;-1,639289856E1;-6,915136719E1;-2,782843018E1;7,632208221E1
1,666931458E0;1,117268372E1;-4,147027969E0;-4,832095337E1;4,976887820E1
1,676973458E0;-1,662744141E1;-7,006187439E1;-2,779248047E1;7,718523189E1
1,687015458E0;1,183341980E1;-3,081872940E0;-4,854968262E1;5,006595098E1
1,697058458E0;-1,695112610E1;-7,064501190E1;-2,744137573E1;7,766007652E1
1,707100458E0;1,138383484E1;-2,401865005E0;-4,898599243E1;5,034866538E1
1,717142458E0;-1,716783142E1;-7,142864990E1;-2,694207764E1;7,824744092E1
1,727185458E0;1,166355896E1;-1,236017227E0;-4,922497559E1;5,060300947E1
1,737227458E0;-1,683015442E1;-7,217704010E1;-2,652850342E1;7,871810916E1
1,747269458E0;1,186473083E1;-3,734531403E-1;-4,936636353E1;5,077350838E1
1,757311458E0;-1,678036499E1;-7,277195740E1;-2,620571899E1;7,914592940E1
1,767354458E0;1,232821655E1;9,096508026E-1;-4,950415039E1;5,102424222E1
1,777396458E0;-1,645103455E1;-7,387371063E1;-2,533062744E1;7,980978854E1
1,787438458E0;1,267881775E1;1,737005234E0;-4,966125488E1;5,128362159E1
1,797480458E0;-1,661972046E1;-7,438384247E1;-2,498080444E1;8,020730465E1
1,807523458E0;1,295066833E1;2,936903000E0;-4,974151611E1;5,148362492E1
1,817565458E0;-1,665914917E1;-7,525590515E1;-2,435238647E1;8,083326814E1
1,827607458E0;1,354072571E1;4,236387253E0;-4,965661621E1;5,164375822E1
1,837650458E0;-1,659416199E1;-7,570644379E1;-2,343115234E1;8,096820822E1
1,847692458E0;1,390989685E1;5,566854477E0;-4,954785156E1;5,176354599E1
1,857734458E0;-1,643490601E1;-7,635269928E1;-2,270251465E1;8,133415638E1
1,867776458E0;1,447543335E1;6,734663010E0;-4,934805298E1;5,186640714E1
1,877819458E0;-1,627508545E1;-7,706330872E1;-2,189718628E1;8,175034387E1
1,887861458E0;1,483580017E1;7,793546677E0;-4,915408325E1;5,193230437E1
1,897903458E0;-1,633152771E1;-7,740696716E1;-2,097506714E1;8,184443050E1
1,907945458E0;1,529431152E1;9,304586411E0;-4,909997559E1;5,226183020E1
1,917988458E0;-1,652301025E1;-7,813181305E1;-2,006054688E1;8,234085025E1
1,928030458E0;1,549455261E1;1,035969353E1;-4,861334229E1;5,206401309E1
1,938072458E0;-1,607032776E1;-7,852578735E1;-1,880468750E1;8,232964828E1
1,948115458E0;1,596775818E1;1,165938377E1;-4,898132324E1;5,282121314E1
1,958157458E0;-1,572146606E1;-7,902375793E1;-1,843750000E1;8,265506772E1
1,968199458E0;1,607438660E1;1,224571800E1;-4,915383911E1;5,314549288E1
1,978241458E0;-1,577511597E1;-7,956012726E1;-1,722860718E1;8,291859284E1
1,988284458E0;1,603315735E1;1,281507683E1;-4,930337524E1;5,340516023E1
1,998326458E0;-1,584861755E1;-7,983901215E1;-1,677716064E1;8,310787964E1
2,008368458E0;1,649618530E1;1,368420219E1;-4,947802734E1;5,392083743E1
2,018410458E0;-1,548521423E1;-7,992758942E1;-1,603790283E1;8,297846550E1
2,028453458E0;1,640907288E1;1,476811790E1;-4,997256470E1;5,463160442E1
2,038495458E0;-1,545208740E1;-8,024290466E1;-1,538943481E1;8,315362564E1
2,048537458E0;1,668098450E1;1,544629478E1;-4,972253418E1;5,467333602E1
2,058580458E0;-1,506962585E1;-8,063805389E1;-1,439898682E1;8,328817551E1
2,068622458E0;1,672930908E1;1,642371178E1;-4,942453003E1;5,470276281E1
2,078664458E0;-1,473326111E1;-8,097505188E1;-1,391931152E1;8,347320075E1
2,088706458E0;1,687197876E1;1,708115959E1;-4,961627197E1;5,511990679E1
2,098749458E0;-1,411317444E1;-8,102218628E1;-1,249121094E1;8,318537560E1
2,108791458E0;1,676832581E1;1,779994011E1;-4,966458130E1;5,535869628E1
2,118833458E0;-1,359356689E1;-8,066216278E1;-1,193054199E1;8,266503129E1
2,128876458E0;1,696110535E1;1,823715782E1;-4,998565674E1;5,584656569E1
2,138918458E0;-1,319216919E1;-8,070591736E1;-1,162152100E1;8,259865722E1
2,148960458E0;1,668304443E1;1,834742546E1;-5,039718628E1;5,616785894E1
2,159002458E0;-1,241993713E1;-8,086407471E1;-1,143481445E1;8,260755654E1
2,169045458E0;1,620790100E1;1,846651268E1;-5,129315186E1;5,687438415E1
2,179091083E0;-1,211099243E1;-8,026528931E1;-1,113278198E1;8,193370271E1
2,189133083E0;1,555258179E1;1,809102440E1;-5,197705078E1;5,719074901E1
2,199175083E0;-1,170809937E1;-8,027821350E1;-1,070150757E1;8,183027201E1
2,209218083E0;1,524333191E1;1,799956322E1;-5,252496338E1;5,757790567E1
2,219260083E0;-1,129353333E1;-7,951168060E1;-1,029971313E1;8,096749556E1
2,229302083E0;1,497558594E1;1,814906883E1;-5,235101318E1;5,739586618E1
2,239345083E0;-1,077748108E1;-7,943302155E1;-9,855041504E0;8,076435385E1
2,249387083E0;1,500332642E1;1,794936943E1;-5,231726074E1;5,730947075E1
2,259429083E0;-1,014108276E1;-7,876557159E1;-9,582427979E0;7,999174804E1
2,269471083E0;1,459712219E1;1,796851921E1;-5,215554810E1;5,706263976E1
2,279514083E0;-9,324356079E0;-7,795668793E1;-9,183837891E0;7,904765453E1
2,289556083E0;1,378596497E1;1,781653404E1;-5,206433105E1;5,672897217E1
2,299598083E0;-9,192138672E0;-7,737468719E1;-8,733215332E0;7,840667498E1
2,309640083E0;1,336962891E1;1,716111565E1;-5,178515625E1;5,616897075E1
2,319683083E0;-8,734695435E0;-7,693294525E1;-8,586517334E0;7,790186936E1
2,329725083E0;1,253379822E1;1,655959892E1;-5,192520142E1;5,592443971E1
2,339767083E0;-8,310058594E0;-7,623434448E1;-8,671997070E0;7,717471014E1
2,349810083E0;1,229988098E1;1,603526115E1;-5,121710205E1;5,506004191E1
2,359852083E0;-7,979415894E0;-7,515919495E1;-8,424407959E0;7,604963059E1
2,369894083E0;1,162052917E1;1,541985893E1;-5,083990479E1;5,438294463E1
2,379936083E0;-7,808624268E0;-7,439256287E1;-7,744140625E0;7,520106207E1
2,389979083E0;1,052124023E1;1,449310112E1;-5,032531738E1;5,341707635E1
2,400021083E0;-6,694320679E0;-7,305382538E1;-7,666229248E0;7,375938179E1
2,410063083E0;1,017292786E1;1,338732719E1;-5,034695435E1;5,308036174E1
2,420105083E0;-6,447830200E0;-7,222599792E1;-8,391113281E0;7,299712373E1
2,430148083E0;8,759048462E0;1,185993004E1;-5,009609985E1;5,222066728E1
2,440190083E0;-6,062301636E0;-7,119130707E1;-8,479339600E0;7,195035026E1
2,450232083E0;7,536788940E0;1,065393639E1;-4,942840576E1;5,112217566E1
2,460275083E0;-5,113510132E0;-6,992948151E1;-8,495574951E0;7,062899662E1
2,470317083E0;7,222564697E0;9,161329269E0;-4,920001221E1;5,056418294E1
2,480359083E0;-4,624526978E0;-6,852090454E1;-8,863861084E0;6,924643415E1
2,490401083E0;6,300933838E0;7,855497360E0;-4,888494873E1;4,991140970E1
2,500444083E0;-4,388839722E0;-6,732875824E1;-9,221313477E0;6,809887093E1
2,510486083E0;5,436889648E0;6,253568649E0;-4,858917236E1;4,929071475E1
2,520528083E0;-3,852401733E0;-6,588781738E1;-9,339416504E0;6,665785910E1
2,530571083E0;4,661697388E0;4,563611984E0;-4,852825928E1;4,896478250E1
2,540613083E0;-2,697647095E0;-6,451015472E1;-1,036782837E1;6,539364822E1
2,550655083E0;3,754028320E0;2,643720627E0;-4,843103027E1;4,864819299E1
2,560697083E0;-2,201110840E0;-6,302149200E1;-1,064965820E1;6,395286204E1
2,570740083E0;3,003875732E0;1,087446213E0;-4,779962158E1;4,790625880E1
2,580782083E0;-1,447265625E0;-6,137869263E1;-1,053805542E1;6,229357189E1
2,590824083E0;1,939178467E0;-9,324169159E-1;-4,701611328E1;4,706532399E1
2,600866083E0;-8,118438721E-1;-5,995692444E1;-1,112564087E1;6,098583248E1
2,610909083E0;8,851165771E-1;-2,709012985E0;-4,654937744E1;4,663653850E1
2,620951083E0;-1,391906738E-1;-5,850805664E1;-1,194119263E1;5,971435462E1
2,630993083E0;-1,359558105E-2;-4,557287216E0;-4,604293823E1;4,626792855E1
2,641036083E0;5,026702881E-1;-5,698701477E1;-1,250515747E1;5,834510685E1
2,651078083E0;-1,140731812E0;-6,816320419E0;-4,577453613E1;4,629332189E1
2,661120083E0;1,043807983E0;-5,535337830E1;-1,293743896E1;5,685475662E1
2,671162083E0;-2,082153320E0;-8,612051010E0;-4,549758911E1;4,635227503E1
2,681205083E0;1,629577637E0;-5,355215454E1;-1,358166504E1;5,527160577E1
2,691247083E0;-3,051239014E0;-1,067091942E1;-4,504003906E1;4,638732262E1
2,701289083E0;2,601943970E0;-5,202201843E1;-1,424685669E1;5,400030963E1
2,711331083E0;-3,690704346E0;-1,266348457E1;-4,386938477E1;4,580947566E1
2,721374083E0;3,330810547E0;-5,036070251E1;-1,466555786E1;5,255828426E1
2,731416083E0;-4,795211792E0;-1,468601036E1;-4,308300781E1;4,576918744E1
2,741458083E0;3,945327759E0;-4,859962463E1;-1,521011353E1;5,107677240E1
2,751501083E0;-5,248092651E0;-1,622872353E1;-4,251434326E1;4,580811420E1
2,761543083E0;4,696914673E0;-4,689394379E1;-1,591461182E1;4,974311852E1
2,771585083E0;-6,313796997E0;-1,837047768E1;-4,227365112E1;4,652311320E1
2,781627083E0;4,973083496E0;-4,537534332E1;-1,604565430E1;4,838508410E1
2,791670083E0;-6,922164917E0;-1,968915749E1;-4,170687866E1;4,663735646E1
2,801712083E0;5,295730591E0;-4,398762512E1;-1,734466553E1;4,757933741E1
2,811754083E0;-7,763717651E0;-2,130083656E1;-4,131549072E1;4,712717606E1
2,821796083E0;5,833419800E0;-4,234974670E1;-1,772918701E1;4,628016751E1
2,831839083E0;-8,186157227E0;-2,278161049E1;-4,062124634E1;4,728742540E1
2,841881083E0;6,255798340E0;-4,091469574E1;-1,850933838E1;4,534030158E1
2,851923083E0;-8,818786621E0;-2,392078590E1;-3,968719482E1;4,717041900E1
2,861965083E0;6,660690308E0;-3,956389618E1;-1,896078491E1;4,437542158E1
