"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
9,129000013E-3;-1,769409180E0;-5,940507889E0;-5,075332642E1;5,113042719E1
1,917099999E-2;-1,755294800E0;-5,882844925E0;-5,063702393E1;5,100781427E1
2,921300000E-2;-1,745910645E0;-5,747972488E0;-5,070462036E1;5,105923930E1
3,925599999E-2;-1,904815674E0;-5,542425156E0;-5,117993164E1;5,151438830E1
4,929800000E-2;-2,148391724E0;-5,383605957E0;-5,100299072E1;5,133131464E1
5,934000001E-2;-2,346664429E0;-5,323776245E0;-5,100686646E1;5,133760662E1
6,938299999E-2;-2,250991821E0;-5,157167435E0;-5,079644775E1;5,110716627E1
7,942500000E-2;-2,629409790E0;-4,987302780E0;-5,091687012E1;5,122806504E1
8,946700001E-2;-2,752838135E0;-5,124660492E0;-5,073352051E1;5,106594135E1
9,950899999E-2;-2,615493774E0;-4,981817245E0;-5,113485718E1;5,144349258E1
1,095520000E-1;-2,467971802E0;-5,032966614E0;-5,082769775E1;5,113586312E1
1,195940000E-1;-2,499282837E0;-4,833549500E0;-5,099349976E1;5,128300530E1
1,296360000E-1;-2,814041138E0;-4,809104919E0;-5,093792725E1;5,124176763E1
1,396780000E-1;-2,908355713E0;-4,679286957E0;-5,067361450E1;5,097224211E1
1,497210000E-1;-2,796218872E0;-4,715379715E0;-5,096713257E1;5,126111829E1
1,597630000E-1;-2,627258301E0;-4,634765625E0;-5,073818970E1;5,101712881E1
1,698050000E-1;-2,755798340E0;-4,587675095E0;-5,075970459E1;5,104105012E1
1,798470000E-1;-2,637908936E0;-4,558729172E0;-5,066510010E1;5,093812858E1
1,898900000E-1;-2,753067017E0;-4,645273209E0;-5,071688843E1;5,100353628E1
1,999320000E-1;-2,786376953E0;-4,432592392E0;-5,073922729E1;5,100863612E1
2,099740000E-1;-2,626617432E0;-4,417306900E0;-5,104983521E1;5,130786873E1
2,200170000E-1;-2,916625977E0;-4,573453903E0;-5,083770752E1;5,112627205E1
2,300590000E-1;-2,817687988E0;-4,450248718E0;-5,055291748E1;5,082658305E1
2,401010000E-1;-2,663345337E0;-4,627870560E0;-5,123211670E1;5,150961440E1
2,501430000E-1;-2,771987915E0;-4,440935135E0;-5,117758179E1;5,144463723E1
2,601860000E-1;-2,780258179E0;-4,580921173E0;-5,110260010E1;5,138278322E1
2,702280000E-1;-2,820632935E0;-4,422441483E0;-5,122180176E1;5,148967794E1
2,802700000E-1;-3,142745972E0;-4,382347107E0;-5,090112305E1;5,118599560E1
2,903120000E-1;-3,144180298E0;-4,502309799E0;-5,087564087E1;5,117115884E1
3,003550000E-1;-3,225585938E0;-4,336210251E0;-5,105178833E1;5,133704526E1
3,103970000E-1;-3,342514038E0;-4,409076691E0;-5,133297729E1;5,163029068E1
3,204390000E-1;-3,120315552E0;-4,267593384E0;-5,123535156E1;5,150737784E1
3,304820000E-1;-3,150909424E0;-4,337718964E0;-5,110656738E1;5,138701456E1
3,405240000E-1;-3,167953491E0;-4,632629395E0;-5,108508301E1;5,139244001E1
3,505660000E-1;-3,268981934E0;-4,193939209E0;-5,106158447E1;5,133771302E1
3,606080000E-1;-3,202850342E0;-4,330575943E0;-5,112484741E1;5,140780253E1
3,706510000E-1;-3,503295898E0;-4,167058945E0;-5,082659912E1;5,111732231E1
3,806930000E-1;-3,230712891E0;-4,108251572E0;-5,057421875E1;5,084355258E1
3,907350000E-1;-3,389511108E0;-4,533382416E0;-5,065563965E1;5,097091494E1
4,007770000E-1;-3,156753540E0;-4,464256287E0;-5,073974609E1;5,103348421E1
4,108200000E-1;-3,187881470E0;-4,504390717E0;-5,089996338E1;5,119822649E1
4,208620000E-1;-3,307662964E0;-4,210886002E0;-5,108010864E1;5,136000092E1
4,309040000E-1;-3,149505615E0;-3,985475540E0;-5,058477783E1;5,083918911E1
4,409460000E-1;-3,256729126E0;-4,151147842E0;-5,104617310E1;5,131812643E1
4,509890000E-1;-3,476989746E0;-4,325307846E0;-5,111740112E1;5,141776389E1
4,610310000E-1;-3,363388062E0;-4,395538330E0;-5,097439575E1;5,127399106E1
4,710730000E-1;-3,301742554E0;-4,326299667E0;-5,108175659E1;5,137084999E1
4,811160000E-1;-3,162521362E0;-4,187564850E0;-5,082595825E1;5,109613755E1
4,911580000E-1;-3,175750732E0;-3,969461441E0;-5,079165649E1;5,104541494E1
5,012000000E-1;-3,599105835E0;-4,332981110E0;-5,039437866E1;5,070820140E1
5,112420000E-1;-3,807693481E0;-4,420810699E0;-5,087152100E1;5,120501680E1
5,212850000E-1;-3,678894043E0;-4,528430939E0;-5,105523682E1;5,138752917E1
5,313270000E-1;-3,372863770E0;-4,305929184E0;-5,075894165E1;5,105279026E1
